n,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,tn,fp,fn,tp,roc_auc,average_precision,experiment,heldout_gene,model,n_train,n_test,train_lof,train_gof,error
22,8,14,0.6818181818181818,0.6964285714285714,0.6757894736842105,0.72,0.8181818181818182,0.6428571428571429,6,2,5,9,0.7142857142857143,0.7570630583235625,leave_one_gene_out,SCN8A,logistic_regression,326,22,202,124,
22,8,14,0.6818181818181818,0.6964285714285714,0.6757894736842105,0.72,0.8181818181818182,0.6428571428571429,6,2,5,9,0.7053571428571428,0.7759449700626173,leave_one_gene_out,SCN8A,random_forest,326,22,202,124,
22,8,14,0.7272727272727273,0.7589285714285714,0.725,0.75,0.9,0.6428571428571429,7,1,5,9,0.75,0.832687373194892,leave_one_gene_out,SCN8A,hist_gradient_boosting,326,22,202,124,
22,8,14,0.5454545454545454,0.5892857142857143,0.5454545454545454,0.5454545454545454,0.75,0.42857142857142855,6,2,8,6,0.5892857142857143,0.6850649350649349,leave_one_gene_out,SCN8A,scion_feature_knn_k1,326,22,202,124,
22,8,14,0.5454545454545454,0.6160714285714286,0.5416666666666667,0.5,0.8333333333333334,0.35714285714285715,7,1,9,5,0.6651785714285714,0.7244588744588744,leave_one_gene_out,SCN8A,scion_feature_knn_k3,326,22,202,124,
22,8,14,0.5,0.5535714285714286,0.4989648033126294,0.47619047619047616,0.7142857142857143,0.35714285714285715,6,2,9,5,0.6383928571428571,0.7077648541934257,leave_one_gene_out,SCN8A,scion_feature_knn_k5,326,22,202,124,
11,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11,0,,,leave_one_gene_out,SCN9A,majority_class,337,11,210,127,
11,0,11,0.45454545454545453,0.45454545454545453,0.3125,0.625,1.0,0.45454545454545453,0,0,6,5,,,leave_one_gene_out,SCN9A,logistic_regression,337,11,210,127,
11,0,11,0.45454545454545453,0.45454545454545453,0.3125,0.625,1.0,0.45454545454545453,0,0,6,5,,,leave_one_gene_out,SCN9A,random_forest,337,11,210,127,
11,0,11,0.45454545454545453,0.45454545454545453,0.3125,0.625,1.0,0.45454545454545453,0,0,6,5,,,leave_one_gene_out,SCN9A,hist_gradient_boosting,337,11,210,127,
11,0,11,0.5454545454545454,0.5454545454545454,0.35294117647058826,0.7058823529411765,1.0,0.5454545454545454,0,0,5,6,,,leave_one_gene_out,SCN9A,scion_feature_knn_k1,337,11,210,127,
11,0,11,0.36363636363636365,0.36363636363636365,0.26666666666666666,0.5333333333333333,1.0,0.36363636363636365,0,0,7,4,,,leave_one_gene_out,SCN9A,scion_feature_knn_k3,337,11,210,127,
11,0,11,0.36363636363636365,0.36363636363636365,0.26666666666666666,0.5333333333333333,1.0,0.36363636363636365,0,0,7,4,,,leave_one_gene_out,SCN9A,scion_feature_knn_k5,337,11,210,127,
