target_gene,method,feature_set,k,n_test,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision
SCN1A,frozen_esm_knn,wt_mut_site,3,61,49,12,0.6721311475409836,0.7644557823129252,0.6369047619047619,0.5238095238095238,0.36666666666666664,0.9166666666666666,0.78656462585034,0.39994045116995935
SCN1A,frozen_esm_knn,wt_mut_site,5,61,49,12,0.6229508196721312,0.7023809523809523,0.5869885192817191,0.46511627906976744,0.3225806451612903,0.8333333333333334,0.7899659863945578,0.4276453728816819
SCN2A,frozen_esm_knn,wt_site,1,32,14,18,0.65625,0.6626984126984128,0.6559139784946236,0.6666666666666666,0.7333333333333333,0.6111111111111112,0.6626984126984128,0.6668981481481481
SCN2A,frozen_esm_knn,wt_site,3,32,14,18,0.625,0.6349206349206349,0.625,0.625,0.7142857142857143,0.5555555555555556,0.7301587301587301,0.7293046928916495
SCN2A,frozen_esm_knn,wt_site,5,32,14,18,0.75,0.746031746031746,0.746031746031746,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7559523809523809,0.7682496258885149
SCN2A,frozen_esm_knn,mutant_site,1,32,14,18,0.65625,0.6626984126984128,0.6559139784946236,0.6666666666666666,0.7333333333333333,0.6111111111111112,0.6626984126984128,0.6668981481481481
SCN2A,frozen_esm_knn,mutant_site,3,32,14,18,0.6875,0.6825396825396826,0.6825396825396826,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7440476190476191,0.743195847362514
SCN2A,frozen_esm_knn,mutant_site,5,32,14,18,0.71875,0.7182539682539683,0.716256157635468,0.7428571428571429,0.7647058823529411,0.7222222222222222,0.7420634920634921,0.7190156657068423
SCN2A,frozen_esm_knn,delta_site,1,32,14,18,0.625,0.6666666666666666,0.6,0.5,1.0,0.3333333333333333,0.6666666666666666,0.7083333333333334
SCN2A,frozen_esm_knn,delta_site,3,32,14,18,0.5,0.5396825396825397,0.4666666666666667,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.638888888888889,0.6589673913043479
