config_id,outer_target_gene,model_name,C,gamma,n_estimators,max_depth,min_samples_leaf,n_inner_validation_genes,threshold,inner_tuned_accuracy,inner_tuned_balanced_accuracy,inner_tuned_roc_auc,inner_tuned_gof_f1,inner_default_accuracy_mean,inner_default_balanced_accuracy_mean,inner_default_roc_auc_mean,inner_default_gof_f1_mean
14,SCN10A,rbf_svm,1.0,0.1,0,none,0,6,-0.01927231979512845,0.6285714285714286,0.6157635467980296,0.6063951442646024,0.5224489795918368,0.608583294627827,0.6062957875457875,0.6651473196116053,0.5432688253249001
17,SCN10A,rbf_svm,10.0,0.1,0,none,0,6,-0.08590591822546616,0.5873015873015873,0.6017549261083743,0.5895935960591133,0.5289855072463768,0.5775121348205026,0.5889793738008023,0.6419424821210535,0.5042449650110941
10,SCN1A,rbf_svm,0.1,0.01,0,none,0,6,0.2999593050283601,0.6851851851851852,0.672317510969286,0.6958801071286114,0.6082949308755761,0.6596451402768179,0.6833333333333332,0.7410129222629221,0.66965434320791
9,SCN1A,rbf_svm,0.1,scale,0,none,0,6,0.1719412481201548,0.674074074074074,0.6718901361900963,0.6816912644595134,0.6206896551724138,0.6691682465709073,0.69498371998372,0.7339438339438339,0.6749585948728106
13,SCN1A,rbf_svm,1.0,0.01,0,none,0,6,0.331360712627496,0.674074074074074,0.6674454384865234,0.6887002108382244,0.6106194690265486,0.6757716755597895,0.6960902523402522,0.7371133496133496,0.6889487897985704
12,SCN1A,rbf_svm,1.0,scale,0,none,0,6,0.13778322851805813,0.6518518518518519,0.6591828594221893,0.683571713487948,0.6178861788617886,0.6719356732519358,0.6512998575498575,0.7098519536019535,0.688725870520026
0,SCN1A,logistic_regression,0.01,none,0,none,0,6,0.6153772836639927,0.674074074074074,0.6555929112769958,0.7176477292153399,0.580952380952381,0.6300297185435617,0.6154176841676842,0.7163258038258039,0.6483429973063147
1,SCN1A,logistic_regression,0.1,none,0,none,0,6,0.3722338182979832,0.6148148148148148,0.6533135791213175,0.6842555131346516,0.6413793103448275,0.6304420112881434,0.6098316035816035,0.6737281237281237,0.6339953969244587
23,SCN1A,random_forest,0.0,none,300,3,3,6,0.48248336400271963,0.6037037037037037,0.643996808934982,0.6619750413128953,0.6348122866894198,0.6383052777103271,0.607730463980464,0.664822446072446,0.6838728844421444
2,SCN1A,logistic_regression,1.0,none,0,none,0,6,0.3831147097252542,0.6074074074074074,0.64117613539233,0.6458487663114708,0.6267605633802817,0.6180959611525154,0.6070894383394384,0.6079492266992267,0.633779639576741
19,SCN1A,random_forest,0.0,none,300,2,3,6,0.4886937109618823,0.5962962962962963,0.6407487606131403,0.6563336942275914,0.6354515050167224,0.6363933730670169,0.5930835368335369,0.6563314000814001,0.6871920863032285
6,SCN1A,linear_svm,0.1,none,0,none,0,6,-0.3485470774198993,0.6074074074074074,0.6382130035899481,0.6575303436093226,0.6214285714285714,0.598392687404142,0.5931420431420432,0.6406440781440782,0.6105216049382717
24,SCN1A,random_forest,0.0,none,300,3,5,6,0.49295605249444385,0.6037037037037037,0.6380705453302182,0.666704655535928,0.624561403508772,0.6330969443769937,0.6031008343508344,0.663436100936101,0.6780249312257701
18,SCN1A,random_forest,0.0,none,300,2,1,6,0.487172516677908,0.5925925925925926,0.6361616046498376,0.6546811784147245,0.6308724832214765,0.6311850397336837,0.5884539072039072,0.6530804843304843,0.6813441330868542
20,SCN1A,random_forest,0.0,none,300,2,5,6,0.48352634567490993,0.5888888888888889,0.6360191463901077,0.658157159952134,0.6336633663366337,0.6332086596912209,0.5909467846967847,0.6579543142043143,0.6854229575991152
33,SCN1A,random_forest,0.0,none,300,,10,6,0.6297450200277601,0.6555555555555556,0.635620263262864,0.6626018576557069,0.5550239234449761,0.5849845797195293,0.5623015873015872,0.6346179283679284,0.6098421481284867
32,SCN1A,random_forest,0.0,none,300,,5,6,0.6214724462138301,0.6370370370370371,0.6334264060630235,0.6465895492620664,0.5775862068965517,0.5752171914335464,0.5552274114774115,0.6286375661375662,0.6010669845675718
29,SCN1A,random_forest,0.0,none,300,5,10,6,0.6297450200277601,0.6518518518518519,0.6325146732007523,0.6637415237335461,0.5523809523809524,0.5977686706286204,0.5728835978835979,0.6425188237688237,0.6235766741969785
