seed,model_family,feature_set,input_dim,best_validation_threshold,test_auc,test_accuracy_0_5,test_precision_0_5,test_recall_0_5,test_f1_0_5,test_accuracy_optimized,test_precision_optimized,test_recall_optimized,test_f1_optimized,best_epoch,best_validation_auc
2,custom_nn,wt_plus_mut_plus_biochem,704,0.41999999999999993,0.8699587242026267,0.7962264150943397,0.7412935323383084,0.7268292682926829,0.7339901477832512,0.7867924528301887,0.7110091743119266,0.7560975609756098,0.7328605200945626,3.0,0.8827455504284771
3,logistic_regression,wt_site_only,320,0.15999999999999998,0.7655534709193246,0.7075471698113207,0.6213592233009708,0.624390243902439,0.6228710462287105,0.6886792452830188,0.575187969924812,0.7463414634146341,0.6496815286624203,,
3,logistic_regression,mutant_site_only,320,0.30499999999999994,0.7703714821763602,0.7075471698113207,0.6288659793814433,0.5951219512195122,0.6115288220551378,0.6886792452830188,0.588495575221239,0.6487804878048781,0.617169373549884,,
3,logistic_regression,wt_plus_mut_site,640,0.3449999999999999,0.7621763602251407,0.7188679245283018,0.6627906976744186,0.5560975609756098,0.6047745358090185,0.7150943396226415,0.6436170212765957,0.5902439024390244,0.6157760814249363,,
3,logistic_regression,biochem_only,64,0.37499999999999994,0.6440225140712945,0.6132075471698113,0.5,0.5560975609756098,0.5265588914549654,0.5358490566037736,0.44533333333333336,0.8146341463414634,0.5758620689655173,,
3,logistic_regression,wt_plus_mut_plus_biochem,704,0.48499999999999993,0.769515947467167,0.7037735849056603,0.6276595744680851,0.5756097560975609,0.6005089058524173,0.7018867924528301,0.6243386243386243,0.5756097560975609,0.5989847715736041,,
3,custom_nn,wt_site_only,320,0.43999999999999995,0.8408555347091933,0.7264150943396226,0.6111111111111112,0.8048780487804879,0.6947368421052632,0.7264150943396226,0.6048951048951049,0.8439024390243902,0.7046843177189409,2.0,0.8768058161350845
3,custom_nn,mutant_site_only,320,0.4649999999999999,0.839594746716698,0.7509433962264151,0.665158371040724,0.7170731707317073,0.6901408450704225,0.7396226415094339,0.645021645021645,0.7268292682926829,0.6834862385321101,5.0,0.8755511257035647
3,custom_nn,wt_plus_mut_site,640,0.3999999999999999,0.8459737335834897,0.7641509433962265,0.6754385964912281,0.751219512195122,0.7113163972286374,0.7358490566037735,0.6181818181818182,0.8292682926829268,0.7083333333333334,2.0,0.866639305816135
3,custom_nn,biochem_only,64,0.36499999999999994,0.6640450281425891,0.6226415094339622,0.5108225108225108,0.5756097560975609,0.5412844036697247,0.5509433962264151,0.45646437994722955,0.8439024390243902,0.5924657534246576,1.0,0.6492143527204501
