feature_set,pca_dim,model_name,C,gamma,n_inner_genes,mean_accuracy,mean_balanced_accuracy,mean_roc_auc,mean_gof_f1,mean_average_precision,outer_target_gene
wt_mut_site,8,rbf_svm,10.0,0.01,6,0.6962005956811851,0.7185628524914239,0.7438092330949474,0.635938348786646,0.7174093722363866,SCN8A
mutant_site,16,rbf_svm,1.0,0.01,6,0.6897457513296305,0.7176838042909471,0.7408097854526426,0.636630323110399,0.7287529928774767,SCN8A
wt_mut_site,16,rbf_svm,1.0,0.01,6,0.6895349937668017,0.7144732251875109,0.7342578056863771,0.6228619172167559,0.7162411278332873,SCN8A
wt_mut_site,128,logistic_regression,0.01,none,6,0.6666836601318197,0.7085473719402291,0.7321668410954126,0.6452345161323225,0.7591234583900398,SCN8A
wt_mut_site,8,rbf_svm,1.0,0.01,6,0.6827042815672854,0.707851110529682,0.7519317983603698,0.6432778597809367,0.7244184208271647,SCN8A
wt_mut_site,128,rbf_svm,10.0,scale,6,0.6772511861976667,0.7077613524042096,0.7601735566021279,0.637395952337398,0.7548044042023326,SCN8A
wt_mut_site,64,rbf_svm,1.0,scale,6,0.6872014974459044,0.7069804203732776,0.7482440839583697,0.6814464912187873,0.738103124122213,SCN8A
wt_site,128,rbf_svm,10.0,scale,6,0.6735258630949373,0.7055519216233502,0.7448111082039653,0.6426658549653202,0.7339526878584518,SCN8A
mutant_site,8,rbf_svm,10.0,scale,6,0.698178422168105,0.7034874847374848,0.7507900168614454,0.6394892144892145,0.7411360813431664,SCN8A
wt_mut_site,32,rbf_svm,10.0,scale,6,0.6802395741758088,0.7034704052561196,0.7696646607360892,0.6348822912128455,0.7578459353990938,SCN8A
mutant_site,128,linear_svm,0.01,none,6,0.6749802312084321,0.7019877609163324,0.752055352055352,0.6240015671952163,0.7431206597973089,SCN8A
mutant_site,32,rbf_svm,1.0,scale,6,0.7034924471357041,0.7008219954648526,0.7719634862492005,0.6853529405416198,0.7924530871625696,SCN8A
mutant_site,8,rbf_svm,10.0,0.01,6,0.6622696923502133,0.6988327809756382,0.7791179719751148,0.6064643446222394,0.7665082563863669,SCN8A
wt_site,32,rbf_svm,10.0,scale,6,0.6784008941112275,0.6986092941450085,0.739298433048433,0.6302671449730274,0.7470480623906921,SCN8A
