outer_target_gene,inner_validation_gene,actual_pca_dim,feature_set,pca_dim,model_name,C,gamma,n_test,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision
SCN2A,SCN1A,32,delta_site,32,linear_svm,0.1,none,61,49,12,0.5901639344262295,0.5875850340136055,0.5288847698486253,0.358974358974359,0.25925925925925924,0.5833333333333334,0.6751700680272108,0.35345755823697006
SCN2A,SCN3A,32,delta_site,32,linear_svm,0.1,none,12,2,10,0.5833333333333334,0.55,0.4957983193277311,0.7058823529411765,0.8571428571428571,0.6,0.6499999999999999,0.932651515151515
SCN2A,SCN4A,32,delta_site,32,linear_svm,0.1,none,31,13,18,0.7741935483870968,0.7841880341880342,0.7732497387669801,0.7878787878787878,0.8666666666666667,0.7222222222222222,0.829059829059829,0.85469272139562
SCN2A,SCN5A,32,delta_site,32,linear_svm,0.1,none,157,117,40,0.535031847133758,0.507051282051282,0.4870888341910942,0.3302752293577982,0.2608695652173913,0.45,0.5542735042735043,0.3342819615318924
SCN2A,SCN8A,32,delta_site,32,linear_svm,0.1,none,22,8,14,0.6363636363636364,0.6607142857142857,0.6333333333333333,0.6666666666666666,0.8,0.5714285714285714,0.7321428571428571,0.76171158440066
SCN2A,SCN10A,32,delta_site,32,linear_svm,1.0,none,16,7,9,0.5625,0.5634920634920635,0.5607843137254902,0.5882352941176471,0.625,0.5555555555555556,0.4920634920634921,0.6802489177489177
SCN2A,SCN1A,32,delta_site,32,linear_svm,1.0,none,61,49,12,0.5901639344262295,0.5875850340136055,0.5288847698486253,0.358974358974359,0.25925925925925924,0.5833333333333334,0.6785714285714286,0.3559172330650659
SCN2A,SCN3A,32,delta_site,32,linear_svm,1.0,none,12,2,10,0.5833333333333334,0.55,0.4957983193277311,0.7058823529411765,0.8571428571428571,0.6,0.6499999999999999,0.932651515151515
SCN2A,SCN4A,32,delta_site,32,linear_svm,1.0,none,31,13,18,0.7741935483870968,0.7841880341880342,0.7732497387669801,0.7878787878787878,0.8666666666666667,0.7222222222222222,0.829059829059829,0.85469272139562
SCN2A,SCN5A,32,delta_site,32,linear_svm,1.0,none,157,117,40,0.535031847133758,0.5235042735042735,0.49539911064148284,0.35398230088495575,0.273972602739726,0.5,0.558974358974359,0.3544168685054988
SCN2A,SCN8A,32,delta_site,32,linear_svm,1.0,none,22,8,14,0.6818181818181818,0.6964285714285714,0.6757894736842105,0.72,0.8181818181818182,0.6428571428571429,0.7589285714285714,0.7786900424505466
SCN2A,SCN10A,32,delta_site,32,linear_svm,10.0,none,16,7,9,0.5625,0.5634920634920635,0.5607843137254902,0.5882352941176471,0.625,0.5555555555555556,0.4920634920634921,0.6802489177489177
SCN2A,SCN1A,32,delta_site,32,linear_svm,10.0,none,61,49,12,0.5901639344262295,0.5875850340136055,0.5288847698486253,0.358974358974359,0.25925925925925924,0.5833333333333334,0.6768707482993197,0.3521293542771871
SCN2A,SCN3A,32,delta_site,32,linear_svm,10.0,none,12,2,10,0.5833333333333334,0.55,0.4957983193277311,0.7058823529411765,0.8571428571428571,0.6,0.6499999999999999,0.932651515151515
SCN2A,SCN4A,32,delta_site,32,linear_svm,10.0,none,31,13,18,0.7741935483870968,0.7841880341880342,0.7732497387669801,0.7878787878787878,0.8666666666666667,0.7222222222222222,0.8247863247863247,0.8529817713151047
SCN2A,SCN5A,32,delta_site,32,linear_svm,10.0,none,157,117,40,0.5286624203821656,0.5110042735042735,0.486474540311174,0.3392857142857143,0.2638888888888889,0.475,0.5628205128205128,0.35596085921891074
SCN2A,SCN8A,32,delta_site,32,linear_svm,10.0,none,22,8,14,0.6818181818181818,0.6964285714285714,0.6757894736842105,0.72,0.8181818181818182,0.6428571428571429,0.7589285714285714,0.7786900424505466
SCN2A,SCN10A,32,delta_site,32,rbf_svm,0.1,scale,16,7,9,0.625,0.5873015873015872,0.5636363636363637,0.7272727272727273,0.6153846153846154,0.8888888888888888,0.6190476190476191,0.6597222222222221
SCN2A,SCN1A,32,delta_site,32,rbf_svm,0.1,scale,61,49,12,0.36065573770491804,0.570578231292517,0.36065573770491804,0.36065573770491804,0.22448979591836735,0.9166666666666666,0.6241496598639455,0.3076114594988625
SCN2A,SCN3A,32,delta_site,32,rbf_svm,0.1,scale,12,2,10,0.75,0.45,0.42857142857142855,0.8571428571428571,0.8181818181818182,0.9,0.9,0.9833333333333333
