target_gene,method,hidden_dim,proj_dim,k,n_seeds,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,std_roc_auc,mean_average_precision,std_average_precision,mean_gof_f1,std_gof_f1,mean_final_loss
SCN1A,contrastive_projection_wt_mut,512,128,5,5,0.7737704918032786,0.0073313704180320936,0.7962585034013605,0.0045634040357138955,0.7965986394557824,0.00820919618105257,0.4227580252170416,0.01684360393929113,0.5918003565062389,0.007971721844919049,4.70143404006958
SCN1A,contrastive_projection_wt_mut,256,512,3,5,0.7704918032786885,0.02839427553391604,0.79421768707483,0.01767398783233552,0.7989795918367347,0.010302810361129906,0.4227109708221611,0.015431801086955058,0.5893915305680012,0.028378382365484907,4.703696537017822
SCN1A,contrastive_projection_wt_mut,256,512,1,5,0.7704918032786885,0.02839427553391604,0.79421768707483,0.01767398783233552,0.79421768707483,0.0176739878323355,0.4133063657653821,0.02750990571846924,0.5893915305680012,0.028378382365484907,4.703696537017822
SCN1A,contrastive_projection_wt_mut,512,256,1,5,0.7704918032786885,0.016393442622950838,0.79421768707483,0.010204081632653066,0.79421768707483,0.010204081632653086,0.4122021559655201,0.01725684248154737,0.5886427298192004,0.017317515176607182,4.700240802764893
SCN1A,contrastive_projection_wt_mut,1024,512,1,5,0.7704918032786885,0.011591914445681107,0.7942176870748299,0.0072153753182301,0.79421768707483,0.007215375318230091,0.4118884599996503,0.01220746954389904,0.5884390119684237,0.012247450434658526,4.69650411605835
SCN1A,contrastive_projection_wt_mut,512,128,3,5,0.7704918032786885,0.011591914445681119,0.7942176870748299,0.007215375318230085,0.7931972789115647,0.005458097461184091,0.41518226764128396,0.008066623295453766,0.5884390119684237,0.012247450434658441,4.70143404006958
SCN1A,contrastive_projection_wt_mut,512,64,5,5,0.7672131147540984,0.013715738139902898,0.7921768707482993,0.00853734720953138,0.7937074829931973,0.007001764915047263,0.4187823993935897,0.01573302630302535,0.5850776674306086,0.0144293153812412,4.705859184265137
SCN1A,contrastive_projection_wt_mut,256,128,5,5,0.7672131147540984,0.0073313704180320936,0.7921768707482993,0.004563404035713823,0.7931972789115647,0.007073685150709308,0.4148936673526837,0.015613448985869029,0.584873949579832,0.007516194882352281,4.7053827285766605
SCN1A,contrastive_projection_wt_mut,512,64,3,5,0.7639344262295082,0.018691400411461296,0.7901360544217687,0.011634443113256485,0.795578231292517,0.007548415313323881,0.4227109708221611,0.01543180108695507,0.5819030642560055,0.019155203671552365,4.705859184265137
SCN1A,contrastive_projection_wt_mut,256,128,3,5,0.7639344262295081,0.008979058319756834,0.7901360544217686,0.005589005688828156,0.7935374149659864,0.003726003792552183,0.41518226764128396,0.008066623295453776,0.5815126050420167,0.009205421134540669,4.7053827285766605
SCN1A,contrastive_projection_wt_mut,1024,64,1,5,0.7639344262295082,0.014662740836064158,0.7901360544217686,0.009126808071427676,0.7901360544217688,0.009126808071427676,0.4052616327206491,0.014116590767044105,0.5816993464052288,0.01461482338235157,4.703618049621582
SCN1A,contrastive_projection_wt_mut,1024,128,5,5,0.760655737704918,0.014662740836064204,0.7880952380952382,0.009126808071427711,0.7931972789115647,0.005716917113595855,0.41878977124878763,0.009879555510554928,0.5783549783549783,0.015487916727271305,4.698469924926758
SCN1A,contrastive_projection_wt_mut,256,64,3,5,0.760655737704918,0.014662740836064213,0.7880952380952382,0.00912680807142773,0.7928571428571429,0.00663047234340745,0.4118884599996503,0.012207469543899051,0.5783549783549783,0.015487916727271291,4.710877418518066
SCN1A,contrastive_projection_wt_mut,256,64,5,5,0.760655737704918,0.014662740836064213,0.7880952380952382,0.00912680807142773,0.7925170068027211,0.0066955849268807805,0.4118884599996503,0.012207469543899051,0.5783549783549783,0.015487916727271291,4.710877418518066
SCN1A,contrastive_projection_wt_mut,256,256,5,5,0.760655737704918,0.00897905831975685,0.7880952380952382,0.005589005688828181,0.7894557823129251,0.0050162861237253685,0.4049871487505129,0.009020463727028428,0.5781512605042016,0.00920542113454062,4.70351734161377
SCN1A,contrastive_projection_wt_mut,256,64,1,5,0.760655737704918,0.014662740836064213,0.7880952380952382,0.00912680807142773,0.7880952380952382,0.00912680807142773,0.4020070370747491,0.015431801086955056,0.5783549783549783,0.015487916727271291,4.710877418518066
SCN1A,contrastive_projection_wt_mut,1024,64,3,5,0.7573770491803279,0.013715738139902883,0.7860544217687074,0.00853734720953131,0.7982993197278913,0.0015211346785712935,0.4296122820712984,0.0,0.5749766573295985,0.013728983212483916,4.703618049621582
SCN1A,contrastive_projection_wt_mut,256,256,3,5,0.7573770491803279,0.007331370418032118,0.7860544217687074,0.004563404035713799,0.7894557823129251,0.0050162861237253685,0.4049871487505129,0.009020463727028428,0.5747899159663865,0.007516194882352264,4.70351734161377
SCN1A,contrastive_projection_wt_mut,256,256,1,5,0.7573770491803279,0.007331370418032118,0.7860544217687074,0.004563404035713799,0.7860544217687075,0.0045634040357138556,0.3983995334672455,0.007365177791501283,0.5747899159663865,0.007516194882352264,4.70351734161377
SCN1A,contrastive_projection_wt_mut,1024,64,5,5,0.7540983606557378,0.0163934426229508,0.7840136054421769,0.010204081632653,0.7982993197278913,0.0015211346785712935,0.4296122820712984,0.0,0.5718020541549953,0.016341203093486755,4.703618049621582
SCN1A,contrastive_projection_wt_mut,1024,128,3,5,0.7540983606557378,0.020077784776911238,0.7840136054421769,0.012497396646852945,0.7931972789115647,0.005716917113595855,0.41878977124878763,0.009879555510554928,0.572005772005772,0.020625332033890217,4.698469924926758
SCN1A,contrastive_projection_wt_mut,512,64,1,5,0.7540983606557378,0.020077784776911262,0.7840136054421769,0.012497396646852963,0.7840136054421769,0.012497396646852907,0.39596838973175397,0.02026571766879485,0.572005772005772,0.020625332033890196,4.705859184265137
SCN1A,contrastive_projection_wt_mut,1024,256,1,5,0.7540983606557378,0.020077784776911266,0.7840136054421769,0.012497396646852971,0.7840136054421769,0.012497396646852928,0.39596838973175397,0.02026571766879484,0.572005772005772,0.020625332033890203,4.69741678237915
SCN1A,contrastive_projection_wt_mut,256,128,1,5,0.7508196721311475,0.017958116639513643,0.7819727891156463,0.011178011377656422,0.7819727891156463,0.011178011377656437,0.3926024320179701,0.016432106152248053,0.5686123097887804,0.017297974820543613,4.7053827285766605
SCN1A,contrastive_projection_wt_mut,512,128,1,5,0.7475409836065574,0.021994111254096258,0.7799319727891156,0.013690212107141529,0.7799319727891157,0.013690212107141563,0.3898575923166087,0.02061988915074275,0.5656244479773892,0.021531769132273688,4.70143404006958
SCN1A,contrastive_projection_wt_mut,1024,128,1,5,0.740983606557377,0.02137443411541849,0.7758503401360544,0.013304494704495167,0.7758503401360545,0.013304494704495214,0.3837860068971972,0.019613618883965196,0.559260100436571,0.020628869535899354,4.698469924926758
SCN1A,frozen_esm_wt_mut,256,64,3,5,0.6721311475409836,0.0,0.7644557823129252,0.0,0.78656462585034,0.0,0.39994045116995935,0.0,0.5238095238095238,0.0,
SCN1A,frozen_esm_wt_mut,256,128,3,5,0.6721311475409836,0.0,0.7644557823129252,0.0,0.78656462585034,0.0,0.39994045116995935,0.0,0.5238095238095238,0.0,
SCN1A,frozen_esm_wt_mut,256,256,3,5,0.6721311475409836,0.0,0.7644557823129252,0.0,0.78656462585034,0.0,0.39994045116995935,0.0,0.5238095238095238,0.0,
SCN1A,frozen_esm_wt_mut,256,512,3,5,0.6721311475409836,0.0,0.7644557823129252,0.0,0.78656462585034,0.0,0.39994045116995935,0.0,0.5238095238095238,0.0,
SCN1A,frozen_esm_wt_mut,512,64,3,5,0.6721311475409836,0.0,0.7644557823129252,0.0,0.78656462585034,0.0,0.39994045116995935,0.0,0.5238095238095238,0.0,
SCN1A,frozen_esm_wt_mut,512,128,3,5,0.6721311475409836,0.0,0.7644557823129252,0.0,0.78656462585034,0.0,0.39994045116995935,0.0,0.5238095238095238,0.0,
SCN1A,frozen_esm_wt_mut,512,256,3,5,0.6721311475409836,0.0,0.7644557823129252,0.0,0.78656462585034,0.0,0.39994045116995935,0.0,0.5238095238095238,0.0,
SCN1A,frozen_esm_wt_mut,512,512,3,5,0.6721311475409836,0.0,0.7644557823129252,0.0,0.78656462585034,0.0,0.39994045116995935,0.0,0.5238095238095238,0.0,
SCN1A,frozen_esm_wt_mut,1024,64,3,5,0.6721311475409836,0.0,0.7644557823129252,0.0,0.78656462585034,0.0,0.39994045116995935,0.0,0.5238095238095238,0.0,
