method,heldout_gene,feature_set,k,n,n_lof,n_gof,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision,tn,fp,fn,tp,seed
contrastive_lora_esm_knn,SCN1A,delta_site,1,61,49,12,0.639344262295082,0.5552721088435374,0.5340277777777778,0.3125,0.25,0.4166666666666667,0.5552721088435375,0.2189207650273223,34,15,7,5,42
contrastive_lora_esm_knn,SCN1A,mutant_site,5,61,49,12,0.6065573770491803,0.6607142857142857,0.5642857142857143,0.4285714285714285,0.3,0.75,0.7185374149659864,0.3810394889663182,28,21,3,9,7
contrastive_lora_esm_knn,SCN1A,wt_mut_site,5,61,49,12,0.5573770491803278,0.6301020408163265,0.5246753246753246,0.4,0.2727272727272727,0.75,0.7091836734693878,0.333402150385846,25,24,3,9,7
contrastive_lora_esm_knn,SCN1A,mutant_site,1,61,49,12,0.6721311475409836,0.7015306122448979,0.6177944862155388,0.4736842105263157,0.3461538461538461,0.75,0.7015306122448981,0.308795712484237,32,17,3,9,7
contrastive_lora_esm_knn,SCN1A,wt_mut_site,3,61,49,12,0.5737704918032787,0.6088435374149659,0.5279761904761905,0.3809523809523809,0.2666666666666666,0.6666666666666666,0.689625850340136,0.333565159794668,27,22,4,8,7
contrastive_lora_esm_knn,SCN1A,mutant_site,3,61,49,12,0.5573770491803278,0.5986394557823129,0.5151604356785399,0.3720930232558139,0.2580645161290322,0.6666666666666666,0.6870748299319727,0.3334725182924893,26,23,4,8,7
contrastive_lora_esm_knn,SCN1A,wt_site,3,61,49,12,0.639344262295082,0.6496598639455782,0.5795739348370927,0.4210526315789473,0.3076923076923077,0.6666666666666666,0.6785714285714286,0.322258825880633,31,18,4,8,7
contrastive_lora_esm_knn,SCN1A,wt_site,5,61,49,12,0.5901639344262295,0.6190476190476191,0.5408009635651911,0.3902439024390244,0.2758620689655172,0.6666666666666666,0.6607142857142857,0.3053815186927581,28,21,4,8,7
contrastive_lora_esm_knn,SCN1A,wt_site,1,61,49,12,0.6885245901639344,0.6488095238095238,0.6053796390875043,0.4242424242424242,0.3333333333333333,0.5833333333333334,0.648809523809524,0.2764116575591985,35,14,5,7,7
contrastive_lora_esm_knn,SCN1A,wt_mut_site,1,61,49,12,0.6885245901639344,0.6488095238095238,0.6053796390875043,0.4242424242424242,0.3333333333333333,0.5833333333333334,0.648809523809524,0.2764116575591985,35,14,5,7,7
contrastive_lora_esm_knn,SCN1A,delta_site,5,61,49,12,0.6065573770491803,0.5977891156462585,0.5413533834586466,0.3684210526315789,0.2692307692307692,0.5833333333333334,0.6394557823129252,0.2825369075369075,30,19,5,7,7
contrastive_lora_esm_knn,SCN1A,delta_site,3,61,49,12,0.5901639344262295,0.5875850340136055,0.5288847698486253,0.358974358974359,0.2592592592592592,0.5833333333333334,0.6045918367346939,0.2557314610273568,29,20,5,7,7
contrastive_lora_esm_knn,SCN1A,delta_site,1,61,49,12,0.5573770491803278,0.5042517006802721,0.4763116057233704,0.2702702702702703,0.2,0.4166666666666667,0.5042517006802721,0.198087431693989,29,20,7,5,7
contrastive_lora_esm_knn,SCN1A,mutant_site,1,61,49,12,0.7049180327868853,0.7534013605442177,0.6560150375939849,0.5263157894736842,0.3846153846153846,0.8333333333333334,0.7534013605442178,0.3532997057587221,33,16,2,10,123
contrastive_lora_esm_knn,SCN1A,wt_mut_site,1,61,49,12,0.7049180327868853,0.7534013605442177,0.6560150375939849,0.5263157894736842,0.3846153846153846,0.8333333333333334,0.7534013605442178,0.3532997057587221,33,16,2,10,123
contrastive_lora_esm_knn,SCN1A,wt_mut_site,5,61,49,12,0.639344262295082,0.6811224489795918,0.5908536585365853,0.45,0.3214285714285714,0.75,0.7372448979591836,0.3432544081934326,30,19,3,9,123
contrastive_lora_esm_knn,SCN1A,wt_mut_site,3,61,49,12,0.6721311475409836,0.7015306122448979,0.6177944862155388,0.4736842105263157,0.3461538461538461,0.75,0.7304421768707483,0.3436726449021531,32,17,3,9,123
contrastive_lora_esm_knn,SCN1A,mutant_site,3,61,49,12,0.6885245901639344,0.7431972789115646,0.6419524250849552,0.5128205128205128,0.3703703703703703,0.8333333333333334,0.7261904761904762,0.3254605598296028,32,17,2,10,123
