setting,feature_a,feature_b,k,metric,n_queries,value_a,value_b,diff_a_minus_b,bootstrap_95ci_low,bootstrap_95ci_high,paired_permutation_p_two_sided
global_all_348_cross_gene,wt_mut_site,wt_site,5,gof_f1,348,0.6181818181818182,0.5988023952095808,0.01937942297223738,-0.015125220505291494,0.05554872769064391,0.3053473263368316
global_all_348_cross_gene,wt_mut_site,mutant_site,1,accuracy,348,0.6695402298850575,0.6522988505747126,0.017241379310344862,-0.011494252873563204,0.0431034482758621,0.2943528235882059
global_all_348_cross_gene,wt_mut_site,mutant_site,1,balanced_accuracy,348,0.6752587991718426,0.6584886128364389,0.016770186335403725,-0.01166319642103762,0.04311811939972676,0.2543728135932034
global_all_348_cross_gene,wt_mut_site,mutant_site,1,roc_auc,348,0.6752587991718426,0.6584886128364389,0.016770186335403725,-0.011663196421037624,0.04311811939972676,0.2543728135932034
global_all_348_cross_gene,wt_mut_site,mutant_site,1,gof_f1,348,0.627831715210356,0.6109324758842444,0.016899239326111593,-0.014320403891734857,0.0451009314061917,0.29535232383808097
global_all_348_cross_gene,wt_mut_site,mutant_site,3,accuracy,348,0.6206896551724138,0.6494252873563219,-0.028735632183908066,-0.06321839080459768,0.005747126436781547,0.1454272863568216
global_all_348_cross_gene,wt_mut_site,mutant_site,3,balanced_accuracy,348,0.6372670807453416,0.6648033126293995,-0.02753623188405796,-0.061488476748289195,0.004367760208240944,0.12443778110944528
global_all_348_cross_gene,wt_mut_site,mutant_site,3,roc_auc,348,0.6834368530020705,0.7081435472739821,-0.024706694271911633,-0.053915100891558695,0.0019081408333756994,0.0814592703648176
global_all_348_cross_gene,wt_mut_site,mutant_site,3,gof_f1,348,0.6,0.6257668711656442,-0.025766871165644245,-0.05961125745305221,0.005062262291607978,0.14342828585707146
global_all_348_cross_gene,wt_mut_site,mutant_site,5,accuracy,348,0.6379310344827587,0.6206896551724138,0.017241379310344862,-0.014367816091954033,0.048850574712643646,0.3698150924537731
global_all_348_cross_gene,wt_mut_site,mutant_site,5,balanced_accuracy,348,0.65527950310559,0.6372670807453416,0.01801242236024847,-0.013255645072095134,0.04882315441086747,0.2943528235882059
