threshold,accuracy,precision,recall,f1
0.232,0.6268595041322315,0.5072142064372919,0.9838536060279871,0.6693518857561332
0.233,0.628099173553719,0.5080600333518621,0.9838536060279871,0.6700879765395894
0.234,0.6289256198347107,0.5086254869226489,0.9838536060279871,0.6705796038151137
0.23500000000000001,0.6309917355371901,0.5100446428571429,0.9838536060279871,0.6718118338846012
0.23600000000000002,0.6309917355371901,0.5100446428571429,0.9838536060279871,0.6718118338846012
0.23700000000000002,0.6309917355371901,0.5100446428571429,0.9838536060279871,0.6718118338846012
0.23800000000000002,0.6318181818181818,0.5106145251396648,0.9838536060279871,0.6723059948510481
0.23900000000000002,0.6318181818181818,0.5106145251396648,0.9838536060279871,0.6723059948510481
0.24,0.6326446280991735,0.5111856823266219,0.9838536060279871,0.6728008833271991
0.241,0.6347107438016529,0.5126191811553561,0.9838536060279871,0.6740412979351033
0.242,0.6351239669421488,0.5129068462401796,0.9838536060279871,0.6742899299151605
0.243,0.6359504132231405,0.5134983127109112,0.9827771797631862,0.6745474695234577
0.244,0.6363636363636364,0.5137872819358469,0.9827771797631862,0.6747967479674797
0.245,0.6376033057851239,0.5146561443066516,0.9827771797631862,0.6755456899741028
0.246,0.6384297520661157,0.5152370203160271,0.9827771797631862,0.6760459089226213
0.247,0.6396694214876033,0.5161107970604861,0.9827771797631862,0.6767976278724982
0.248,0.6409090909090909,0.5169875424688561,0.9827771797631862,0.6775510204081633
0.249,0.6421487603305785,0.5178672716959728,0.9827771797631862,0.6783060921248143
0.25,0.6425619834710744,0.518161180476731,0.9827771797631862,0.6785581568190264
0.251,0.6425619834710744,0.518161180476731,0.9827771797631862,0.6785581568190264
0.252,0.6433884297520661,0.5187713310580204,0.9817007534983854,0.6788239672497208
0.253,0.6442148760330578,0.5193621867881549,0.9817007534983854,0.6793296089385474
0.254,0.6442148760330578,0.5193621867881549,0.9817007534983854,0.6793296089385474
0.255,0.6454545454545455,0.5202509982886481,0.9817007534983854,0.680089485458613
0.256,0.6454545454545455,0.5202509982886481,0.9817007534983854,0.680089485458613
0.257,0.6458677685950414,0.5205479452054794,0.9817007534983854,0.680343155538978
0.258,0.6458677685950414,0.5205479452054794,0.9817007534983854,0.680343155538978
0.259,0.6462809917355372,0.520845231296402,0.9817007534983854,0.6805970149253732
0.26,0.6466942148760331,0.5211428571428571,0.9817007534983854,0.6808510638297872
0.261,0.6466942148760331,0.5211428571428571,0.9817007534983854,0.6808510638297872
0.262,0.6475206611570248,0.5217391304347826,0.9817007534983854,0.6813597310422115
0.263,0.6483471074380165,0.5223367697594502,0.9817007534983854,0.6818691588785046
0.264,0.6495867768595042,0.5232358003442341,0.9817007534983854,0.6826347305389222
0.265,0.6508264462809917,0.5241379310344828,0.9817007534983854,0.683402023229674
0.266,0.6516528925619834,0.5247410817031071,0.9817007534983854,0.6839145106861643
0.267,0.6520661157024793,0.5250431778929189,0.9817007534983854,0.6841710427606902
0.268,0.6520661157024793,0.5250431778929189,0.9817007534983854,0.6841710427606902
0.269,0.6537190082644628,0.5262550490478938,0.9817007534983854,0.6851990984222389
0.27,0.6545454545454545,0.5268630849220104,0.9817007534983854,0.6857142857142857
0.271,0.656198347107438,0.5280833815865663,0.9817007534983854,0.6867469879518072
0.272,0.6574380165289256,0.5290360046457607,0.9806243272335845,0.6872878159185213
0.273,0.6578512396694215,0.5293434049970948,0.9806243272335845,0.6875471698113208
0.274,0.6590909090909091,0.530267753201397,0.9806243272335845,0.6883264072534945
0.275,0.6599173553719008,0.5308857808857809,0.9806243272335845,0.6888468809073724
0.276,0.6607438016528926,0.5315052508751459,0.9806243272335845,0.6893681422625804
0.277,0.6619834710743802,0.532437171244886,0.9806243272335845,0.6901515151515152
0.278,0.6628099173553719,0.5330602691632533,0.9806243272335845,0.690674753601213
