outer_target_gene,feature_set,pca_dim,model_name,C,gamma,n_inner_genes,threshold,inner_tuned_accuracy,inner_tuned_balanced_accuracy,inner_tuned_roc_auc,inner_tuned_gof_f1,inner_tuned_macro_f1,inner_default_accuracy,inner_default_balanced_accuracy,inner_default_roc_auc,inner_default_gof_f1
SCN10A,wt_mut_site,32,linear_svm,0.1,none,6,0.10110249424294658,0.7301587301587301,0.7266009852216748,0.7787649542575651,0.6530612244897959,0.7161410018552876,0.707936507936508,0.7093596059113301,0.7787649542575651,0.6349206349206349
SCN10A,wt_mut_site,32,linear_svm,10.0,none,6,-0.34989655426681987,0.6984126984126984,0.7259852216748768,0.7804363124560169,0.6594982078853047,0.694421468615017,0.7047619047619048,0.7068965517241379,0.7804363124560169,0.6324110671936759
SCN10A,wt_mut_site,32,linear_svm,1.0,none,6,-0.40230905968240716,0.6952380952380952,0.7255233990147784,0.7807002111189303,0.6595744680851063,0.6918561995597945,0.7047619047619048,0.7068965517241379,0.7807002111189303,0.6324110671936759
SCN10A,wt_mut_site,16,rbf_svm,0.1,0.01,6,-0.4773499393398103,0.7365079365079366,0.7255233990147782,0.7591045038705138,0.6497890295358649,0.7192965503913422,0.6761904761904762,0.5886699507389163,0.7591045038705138,0.3855421686746988
SCN10A,wt_mut_site,8,rbf_svm,0.1,scale,6,0.2506391427566504,0.7619047619047619,0.7232142857142857,0.7489004222378606,0.6376811594202898,0.7301880974406414,0.6730158730158731,0.7002770935960592,0.7489004222378606,0.6334519572953736
SCN10A,wt_mut_site,8,rbf_svm,10.0,scale,6,0.16567605424149726,0.7333333333333333,0.7230603448275862,0.7634588318085854,0.6470588235294118,0.7163865546218487,0.6984126984126984,0.6979679802955665,0.7634588318085854,0.6215139442231076
SCN10A,wt_mut_site,128,linear_svm,1.0,none,6,0.9531641389004621,0.7523809523809524,0.7218288177339902,0.7240499648135117,0.6388888888888888,0.7252415458937198,0.6857142857142857,0.6921182266009852,0.7240499648135117,0.6177606177606177
SCN10A,wt_mut_site,32,logistic_regression,10.0,none,6,0.3631819037936338,0.6857142857142857,0.7201354679802956,0.7834711470795215,0.6550522648083623,0.6832112635995164,0.692063492063492,0.6910406403940887,0.7834711470795215,0.6135458167330677
SCN10A,wt_mut_site,16,rbf_svm,1.0,0.01,6,0.04180900274981712,0.7523809523809524,0.7198275862068966,0.75,0.6355140186915887,0.7240070093457944,0.707936507936508,0.6953509852216748,0.75,0.6134453781512605
SCN10A,wt_mut_site,128,linear_svm,10.0,none,6,0.9590816839863159,0.7492063492063492,0.719365763546798,0.7098874032371569,0.6359447004608295,0.7223307037413107,0.6634920634920635,0.6688731527093597,0.7098874032371569,0.5923076923076923
SCN10A,wt_mut_site,32,logistic_regression,1.0,none,6,0.31796748857266854,0.6761904761904762,0.71875,0.7836470795214638,0.6554054054054054,0.6750080919242596,0.6952380952380952,0.6955049261083743,0.7836470795214638,0.6190476190476191
SCN10A,wt_mut_site,32,linear_svm,0.01,none,6,0.18342162166233092,0.7238095238095238,0.7176724137931034,0.7725193525686137,0.6419753086419753,0.7085845535457939,0.6984126984126984,0.7039716748768473,0.7725193525686137,0.6303501945525292
SCN10A,wt_mut_site,32,logistic_regression,0.01,none,6,0.6141671679539273,0.746031746031746,0.7169027093596059,0.7877814919071077,0.6330275229357798,0.7194263828271132,0.6952380952380952,0.7055110837438423,0.7877814919071077,0.6335877862595419
SCN10A,wt_mut_site,32,logistic_regression,0.1,none,6,0.35472874303395524,0.6730158730158731,0.7142857142857142,0.7856703026038001,0.6508474576271186,0.6716923855299772,0.6888888888888889,0.6905788177339902,0.7856703026038001,0.6141732283464567
SCN10A,wt_mut_site,32,rbf_svm,0.1,0.01,6,-0.5687518099343325,0.746031746031746,0.7108990147783252,0.7167927515833918,0.6226415094339622,0.7156269748126749,0.6761904761904762,0.5886699507389163,0.7167927515833918,0.3855421686746988
