k,n_query,n_candidate,accuracy,balanced_accuracy,macro_f1,gof_f1,gof_precision,gof_recall,roc_auc,average_precision,seed,method,query_gene,candidate_pool
1,61,287,0.7377049180327869,0.7423469387755102,0.6737967914438503,0.5294117647058824,0.4090909090909091,0.75,0.7423469387755102,0.3559985096870343,4,frozen_esm_wt_mut,SCN1A,non-SCN1A
3,61,287,0.6721311475409836,0.7644557823129252,0.6369047619047619,0.5238095238095238,0.36666666666666664,0.9166666666666666,0.78656462585034,0.39994045116995935,4,frozen_esm_wt_mut,SCN1A,non-SCN1A
5,61,287,0.6229508196721312,0.7023809523809523,0.5869885192817191,0.46511627906976744,0.3225806451612903,0.8333333333333334,0.7899659863945578,0.4276453728816819,4,frozen_esm_wt_mut,SCN1A,non-SCN1A
1,61,287,0.7704918032786885,0.7942176870748299,0.714572192513369,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.79421768707483,0.4115747640337804,4,contrastive_projection_wt_mut,SCN1A,non-SCN1A
3,61,287,0.7704918032786885,0.7942176870748299,0.714572192513369,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.7925170068027211,0.4115747640337804,4,contrastive_projection_wt_mut,SCN1A,non-SCN1A
5,61,287,0.7704918032786885,0.7942176870748299,0.714572192513369,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.7925170068027211,0.4115747640337804,4,contrastive_projection_wt_mut,SCN1A,non-SCN1A
1,61,287,0.7377049180327869,0.7423469387755102,0.6737967914438503,0.5294117647058824,0.4090909090909091,0.75,0.7423469387755102,0.3559985096870343,5,frozen_esm_wt_mut,SCN1A,non-SCN1A
3,61,287,0.6721311475409836,0.7644557823129252,0.6369047619047619,0.5238095238095238,0.36666666666666664,0.9166666666666666,0.78656462585034,0.39994045116995935,5,frozen_esm_wt_mut,SCN1A,non-SCN1A
5,61,287,0.6229508196721312,0.7023809523809523,0.5869885192817191,0.46511627906976744,0.3225806451612903,0.8333333333333334,0.7899659863945578,0.4276453728816819,5,frozen_esm_wt_mut,SCN1A,non-SCN1A
1,61,287,0.7377049180327869,0.7738095238095238,0.6847545219638242,0.5555555555555556,0.4166666666666667,0.8333333333333334,0.773809523809524,0.3800091074681239,5,contrastive_projection_wt_mut,SCN1A,non-SCN1A
3,61,287,0.7704918032786885,0.7942176870748299,0.714572192513369,0.5882352941176471,0.45454545454545453,0.8333333333333334,0.7908163265306123,0.4115747640337804,5,contrastive_projection_wt_mut,SCN1A,non-SCN1A
